idx,db_id,question,hardness,fail_type,gold_sql,pred_sql,error_msg
33,concert_singer,Show the name and theme for all concerts and the number of singers in each concert.,hard,em_only,"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id","SELECT t1.concert_name, t1.theme, COUNT(t2.singer_id) FROM concert AS t1 JOIN singer_in_concert AS t2 ON t1.concert_id = t2.concert_id GROUP BY t1.concert_name, t1.theme",
34,concert_singer,"What are the names , themes , and number of singers for every concert ?",hard,em_only,"select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id","SELECT t1.concert_name, t1.theme, COUNT(t3.singer_id) FROM concert AS t1 JOIN singer_in_concert AS t2 ON t1.concert_id = t2.concert_id JOIN singer AS t3 ON t2.singer_id = t3.singer_id GROUP BY t1.concert_name, t1.theme",
35,concert_singer,List singer names and number of concerts for each singer.,hard,em_only,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT t1.name, COUNT(*) FROM singer AS t1 JOIN singer_in_concert AS t2 ON t1.singer_id = t2.singer_id GROUP BY t1.name",
36,concert_singer,What are the names of the singers and number of concerts for each person?,hard,em_only,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT t1.name, COUNT(DISTINCT t2.concert_id) FROM singer AS t1 JOIN singer_in_concert AS t2 ON t1.singer_id = t2.singer_id GROUP BY t1.name",
37,concert_singer,List all singer names in concerts in year 2014.,hard,em_only,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,SELECT t2.name FROM concert AS t1 JOIN singer_in_concert AS t3 ON t1.concert_id = t3.concert_id JOIN singer AS t2 ON t3.singer_id = t2.singer_id WHERE t1.year = 2014,
39,concert_singer,what is the name and nation of the singer who have a song having 'Hey' in its name?,easy,em_only,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT name, country FROM singer WHERE song_name LIKE '%Hey%'",
40,concert_singer,What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,easy,em_only,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT name, country FROM singer WHERE song_name LIKE '%Hey%'",
41,concert_singer,Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,extra,em_only,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT t1.name, t1.location FROM stadium AS t1 JOIN concert AS t2 ON t1.stadium_id = t2.stadium_id WHERE t2.year = 2014 AND t2.stadium_id IN (SELECT stadium_id FROM concert WHERE year = 2015)",
42,concert_singer,What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?,extra,em_only,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT t1.name, t1.location FROM stadium AS t1 JOIN concert AS t2 ON t1.stadium_id = t2.stadium_id WHERE t2.year = 2014 AND t2.stadium_id IN (SELECT stadium_id FROM concert WHERE year = 2015)",
43,concert_singer,Find the number of concerts happened in the stadium with the highest capacity .,hard,em_only,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT COUNT(*) FROM concert JOIN stadium t1 ON concert.stadium_id = t1.stadium_id WHERE t1.capacity = (SELECT MAX(capacity) FROM stadium),
44,concert_singer,What are the number of concerts that occurred in the stadium with the largest capacity ?,hard,em_only,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT COUNT(*) FROM concert JOIN stadium ON concert.stadium_id = stadium.stadium_id WHERE stadium.capacity = (SELECT MAX(capacity) FROM stadium),
47,pets_1,Find the weight of the youngest dog.,easy,em_only,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,SELECT weight FROM pets WHERE pettype = 'dog' AND pet_age = (SELECT MIN(pet_age) FROM pets WHERE pettype = 'dog'),
48,pets_1,How much does the youngest dog weigh?,easy,em_only,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,SELECT weight FROM pets WHERE pettype = 'dog' AND pet_age = (SELECT MIN(pet_age) FROM pets WHERE pettype = 'dog'),
49,pets_1,Find the maximum weight for each type of pet. List the maximum weight and pet type.,medium,em_only,"SELECT max(weight) ,  petType FROM pets GROUP BY petType","SELECT max(weight), pettype FROM pets GROUP BY pettype",
50,pets_1,List the maximum weight and type for each type of pet.,medium,em_only,"SELECT max(weight) ,  petType FROM pets GROUP BY petType","SELECT max(weight), pettype FROM pets GROUP BY pettype",
51,pets_1,Find number of pets owned by students who are older than 20.,medium,em_only,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20,SELECT COUNT(*) FROM student JOIN has_pet ON student.stuid = has_pet.stuid WHERE student.age > 20,
52,pets_1,How many pets are owned by students that have an age greater than 20?,medium,em_only,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20,SELECT COUNT(*) FROM has_pet JOIN student ON has_pet.stuid = student.stuid WHERE student.age > 20,
54,pets_1,How many dog pets are raised by female students?,hard,exec_mismatch,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog',SELECT COUNT(*) FROM student AS t1 JOIN has_pet AS t2 ON t1.stuid = t2.stuid JOIN pets AS t3 ON t2.petid = t3.petid WHERE t1.sex = 'f' AND t3.pettype = 'dog',"gold=[(2,)] | pred=[(0,)]"
57,pets_1,Find the first name of students who have cat or dog pet.,hard,exec_error,SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog',SELECT DISTINCT t1.fname,no such column: t1.fname
58,pets_1,What are the first names of every student who has a cat or dog as a pet?,hard,exec_error,SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog',SELECT DISTINCT t1.fname,no such column: t1.fname
59,pets_1,Find the first name of students who have both cat and dog pets .,extra,exec_error,select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat' intersect select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'dog',SELECT t4.stuid,no such column: t4.stuid
60,pets_1,What are the students' first names who have both cats and dogs as pets?,extra,exec_error,SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' INTERSECT SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog',SELECT t4.stuid,no such column: t4.stuid
61,pets_1,Find the major and age of students who do not have a cat pet.,hard,em_only,"SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')","SELECT major, age FROM student WHERE stuid NOT IN (SELECT t1.stuid FROM has_pet AS t1 JOIN pets AS t2 ON t1.petid = t2.petid WHERE t2.pettype = 'cat')",
62,pets_1,"What major is every student who does not own a cat as a pet, and also how old are they?",hard,em_only,"SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')","SELECT major, age FROM student WHERE stuid NOT IN (SELECT stuid FROM has_pet JOIN pets ON has_pet.petid = pets.petid WHERE pettype = 'cat')",
63,pets_1,Find the id of students who do not have a cat pet.,extra,em_only,SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat',SELECT stuid FROM student WHERE stuid NOT IN (SELECT t1.stuid FROM has_pet AS t1 JOIN pets AS t2 ON t1.petid = t2.petid WHERE t2.pettype = 'cat'),
64,pets_1,What are the ids of the students who do not own cats as pets?,extra,em_only,SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat',SELECT stuid FROM student WHERE stuid NOT IN (SELECT t1.stuid FROM has_pet AS t1 JOIN pets AS t2 ON t1.petid = t2.petid WHERE t2.pettype = 'cat'),
65,pets_1,Find the first name and age of students who have a dog but do not have a cat as a pet.,hard,exec_mismatch,"SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')","SELECT DISTINCT t1.fname, t1.age FROM student AS t1 JOIN has_pet AS t2 ON t1.stuid = t2.stuid JOIN pets AS t3 ON t2.petid = t3.petid WHERE t3.pettype = 'dog' AND t1.stuid NOT IN (SELECT stuid FROM has_pet JOIN pets ON has_pet.petid = pets.petid WHERE pettype = 'cat')","gold=[('tracy', 19), ('tracy', 19)] | pred=[('tracy', 19)]"
66,pets_1,What is the first name of every student who has a dog but does not have a cat?,hard,exec_error,"SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",SELECT t4.stuid,no such column: t4.stuid
67,pets_1,Find the type and weight of the youngest pet.,easy,em_only,"SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1","SELECT pettype, weight FROM pets WHERE pet_age = (SELECT MIN(pet_age) FROM pets)",
68,pets_1,"What type of pet is the youngest animal, and how much does it weigh?",easy,em_only,"SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1","SELECT pettype, weight FROM pets WHERE pet_age = (SELECT MIN(pet_age) FROM pets)",
69,pets_1,Find the id and weight of all pets whose age is older than 1.,easy,em_only,"SELECT petid ,  weight FROM pets WHERE pet_age  >  1","SELECT petid, weight FROM pets WHERE pet_age > 1",
70,pets_1,What is the id and weight of every pet who is older than 1?,easy,em_only,"SELECT petid ,  weight FROM pets WHERE pet_age  >  1","SELECT petid, weight FROM pets WHERE pet_age > 1",
71,pets_1,Find the average and maximum age for each type of pet.,medium,exec_mismatch,"SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype","SELECT pettype, AVG(pet_age), MAX(pet_age) FROM pets GROUP BY pettype","gold=[(1.5, 2, 'dog'), (3.0, 3, 'cat')] | pred=[('cat', 3.0, 3), ('dog', 1.5, 2)]"
72,pets_1,What is the average and maximum age for each pet type?,medium,exec_mismatch,"SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype","SELECT pettype, AVG(pet_age), MAX(pet_age) FROM pets GROUP BY pettype","gold=[(1.5, 2, 'dog'), (3.0, 3, 'cat')] | pred=[('cat', 3.0, 3), ('dog', 1.5, 2)]"
73,pets_1,Find the average weight for each pet type.,medium,exec_mismatch,"SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype","SELECT pettype, AVG(weight) FROM pets GROUP BY pettype","gold=[(11.35, 'dog'), (12.0, 'cat')] | pred=[('cat', 12.0), ('dog', 11.35)]"
74,pets_1,What is the average weight for each type of pet?,medium,exec_mismatch,"SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype","SELECT pettype, AVG(weight) FROM pets GROUP BY pettype","gold=[(11.35, 'dog'), (12.0, 'cat')] | pred=[('cat', 12.0), ('dog', 11.35)]"
75,pets_1,Find the first name and age of students who have a pet.,medium,em_only,"SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid","SELECT DISTINCT t1.fname, t1.age FROM student AS t1 JOIN has_pet AS t2 ON t1.stuid = t2.stuid",
76,pets_1,What are the different first names and ages of the students who do have pets?,medium,em_only,"SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid","SELECT DISTINCT fname, age FROM student JOIN has_pet ON student.stuid = has_pet.stuid",
79,pets_1,Find the number of pets for each student who has any pet and student id.,hard,exec_mismatch,"SELECT count(*) ,  T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid","SELECT t1.stuid, COUNT(*) FROM student t1 JOIN has_pet t2 ON t1.stuid = t2.stuid GROUP BY t1.stuid","gold=[(1, 1001), (2, 1002)] | pred=[(1001, 1), (1002, 2)]"
80,pets_1,"For students who have pets , how many pets does each student have ? list their ids instead of names .",hard,exec_mismatch,"select count(*) ,  t1.stuid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid group by t1.stuid","SELECT t1.stuid, COUNT(*) FROM student AS t1 JOIN has_pet AS t2 ON t1.stuid = t2.stuid GROUP BY t1.stuid","gold=[(1, 1001), (2, 1002)] | pred=[(1001, 1), (1002, 2)]"
81,pets_1,Find the first name and gender of student who have more than one pet.,hard,em_only,"SELECT T1.fname ,  T1.sex FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1","SELECT t1.fname, t1.sex FROM student AS t1 JOIN has_pet AS t2 ON t1.stuid = t2.stuid GROUP BY t1.stuid HAVING COUNT(*) > 1",
82,pets_1,What is the first name and gender of the all the students who have more than one pet?,hard,em_only,"SELECT T1.fname ,  T1.sex FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1","SELECT t1.fname, t1.sex FROM student AS t1 JOIN has_pet AS t2 ON t1.stuid = t2.stuid GROUP BY t1.stuid HAVING COUNT(t2.petid) > 1",
83,pets_1,Find the last name of the student who has a cat that is age 3.,hard,exec_error,SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat',SELECT t1.lname,no such column: t1.lname
84,pets_1,What is the last name of the student who has a cat that is 3 years old?,hard,em_only,SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat',SELECT t1.lname FROM student AS t1 JOIN has_pet AS t2 ON t1.stuid = t2.stuid JOIN pets AS t3 ON t2.petid = t3.petid WHERE t3.pettype = 'cat' AND t3.pet_age = 3,
89,car_1,"How many countries does each continent have? List the continent id, continent name and the number of countries.",hard,exec_error,"SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;","SELECT t1.contid, t1.continent, count(*)",no such column: t1.contid
90,car_1,"For each continent, list its id, name, and how many countries it has?",hard,exec_error,"SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;","SELECT t1.contid, t1.continent, COUNT(t2.countryid)",no such column: t1.contid
93,car_1,"How many models does each car maker produce? List maker full name, id and the number.",hard,exec_error,"SELECT T1.FullName ,  T1.Id ,  count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id;","SELECT t1.fullname, t1.id, count(*)",no such column: t1.fullname
94,car_1,"What is the full name of each car maker, along with its id and how many models it produces?",hard,exec_mismatch,"SELECT T1.FullName ,  T1.Id ,  count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id;","SELECT t1.fullname, t1.id, count(t2.model) FROM car_makers AS t1 JOIN model_list AS t2 ON t1.maker = t2.maker GROUP BY t1.id, t1.fullname","gold=[('american motor company', 1, 1), ('bmw', 3, 1), ('chrysler | pred=[]"
95,car_1,Which model of the car has the minimum horsepower?,medium,exec_mismatch,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.horsepower ASC LIMIT 1;,SELECT model FROM cars_data JOIN model_list ON cars_data.id = model_list.modelid WHERE horsepower = (SELECT MIN(horsepower) FROM cars_data),"gold=[('amc',)] | pred=[]"
96,car_1,What is the model of the car with the smallest amount of horsepower?,medium,exec_mismatch,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.horsepower ASC LIMIT 1;,SELECT model FROM cars_data JOIN car_names ON cars_data.id = car_names.makeid WHERE horsepower = (SELECT MIN(horsepower) FROM cars_data),"gold=[('amc',)] | pred=[('amc',), ('amc',), ('amc',), ('amc',), ('amc',), ('amc',),"
97,car_1,Find the model of the car whose weight is below the average weight.,hard,exec_error,SELECT T1.model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Weight  <  (SELECT avg(Weight) FROM CARS_DATA),SELECT model FROM cars_data WHERE weight < (SELECT AVG(weight) FROM cars_data),no such column: model
98,car_1,What is the model for the car with a weight smaller than the average?,hard,exec_mismatch,SELECT T1.model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Weight  <  (SELECT avg(Weight) FROM CARS_DATA),"SELECT model FROM cars_data, model_list WHERE cars_data.weight < (SELECT avg(weight) FROM cars_data) AND model_list.modelid = cars_data.id","gold=[('amc',), ('amc',), ('amc',), ('amc',), ('amc',), ('amc',), | pred=[('oldsmobile',), ('opel',), ('peugeot',), ('plymouth',), ('"
99,car_1,Find the name of the makers that produced some cars in the year of 1970?,hard,exec_error,SELECT DISTINCT T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker JOIN CAR_NAMES AS T3 ON T2.model  =  T3.model JOIN CARS_DATA AS T4 ON T3.MakeId  =  T4.id WHERE T4.year  =  '1970';,SELECT DISTINCT t1.maker FROM model_list AS t1 JOIN cars_data AS t2 JOIN car_makers AS t3 ON t1.model = t2.model AND t1.maker = t3.maker WHERE t2.year = 1970,no such column: t2.model
100,car_1,What is the name of the different car makers who produced a car in 1970?,hard,exec_mismatch,SELECT DISTINCT T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker JOIN CAR_NAMES AS T3 ON T2.model  =  T3.model JOIN CARS_DATA AS T4 ON T3.MakeId  =  T4.id WHERE T4.year  =  '1970';,SELECT DISTINCT t1.maker FROM model_list AS t1 JOIN car_names AS t2 ON t1.model = t2.model JOIN cars_data AS t3 ON t2.makeid = t3.id WHERE t3.year = 1970,"gold=[('amc',), ('bmw',), ('chrysler',), ('citroen',), ('ford',), | pred=[(1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (10,), (15,"
101,car_1,Find the make and production time of the cars that were produced in the earliest year?,hard,exec_error,"SELECT T2.Make ,  T1.Year FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T1.Year  =  (SELECT min(YEAR) FROM CARS_DATA);","SELECT t1.make, t1.year FROM cars_data AS t1 JOIN (SELECT MIN(year) AS min_year FROM cars_data) AS t2 ON t1.year = t2.min_year",no such column: t1.make
102,car_1,What is the maker of the carr produced in the earliest year and what year was it?,hard,exec_mismatch,"SELECT T2.Make ,  T1.Year FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T1.Year  =  (SELECT min(YEAR) FROM CARS_DATA);","SELECT t1.maker, t2.year FROM model_list AS t1 JOIN cars_data AS t2 ON t1.model = t2.id WHERE t2.year = (SELECT MIN(year) FROM cars_data)","gold=[('amc ambassador dpl', 1970), ('amc gremlin', 1970), ('amc  | pred=[]"
